NEIGHBORHOOD,SUMMARY
Central Business District,Open Container
Central Business District,Harassment
Homewood South,Public drunkenness
Carrick,Rabies vaccination
North Shore,"Trespassing, threatening"
Carrick,Harassment
East Liberty,Criminal Mischief
Manchester,Harassment
South Side Flats,Public drunkenness
Glen Hazel,Harassment
Central Business District,Public drunkenness
Lower Lawrenceville,Harassment
Squirrel Hill South,Retail Theft
South Side Flats,Indecent public act
North Shore,Obscene lang/gest disorderly conduct
Lower Lawrenceville,Fighting (Disorderly Conduct)
North Shore,Public drunkenness
South Side Flats,Public drunkenness
North Shore,Public drunkenness
Carrick,Harassment
Central Business District,Public drunkenness
Chartiers City,Harassment
Terrace Village,Harassment
Central Business District,Harassment
Mount Washington,Littering/Dumping
Shadyside,Retail Theft
Central Business District,Public urination/defecation
Homewood North,Marijuana possession
Central Business District,Fighting (disorderly conduct)
Banksville,Harassment
Spring Garden,Marijuana possession
Duquesne Heights,Cruelty to animals
Middle Hill,Fighting in disorderly conduct
Mount Washington,Underage liquor
Arlington,Rabies vaccination
Bedford Dwellings,Criminal Mischief
Brookline,Harassment
Squirrel Hill South,Harassment
Lower Lawrenceville,Public drunkenness
,Public drunkenness
Upper Hill,Public drunkenness
Bedford Dwellings,Harassment
Arlington,Dog license requirement
North Shore,Fighting in disorderly conduct
Squirrel Hill South,Harassment
South Side Flats,Indecent public act
Mount Washington,Public drunkenness
Crawford-Roberts,Harassment by physical contact
Central Oakland,Marijuana possession
Brookline,Harassment
East Liberty,Alcohol on streets/sidewalks
Carrick,Rabies vaccination
Crafton Heights,Harassment
East Liberty,Harassment
Crawford-Roberts,Public drunkenness
Central Business District,Public drunkenness
Middle Hill,Actual Communication
Middle Hill,Actual communication
Crafton Heights,Marijuana possession
North Shore,Public drunkenness
South Side Flats,Disorderly Conduct
Brookline,Harassment
,Public drunkenness
Elliott,Fighting disorderly conduct
South Side Flats,Public drunkenness
Carrick,Dog license requirement
Central Business District,Fighting disorderly conduct
Central Business District,Public drunkenness
Homewood North,Fighting in disorderly conduct
Homewood North,Criminal Mischief
Manchester,Obstructing passage
South Side Flats,Fighting in disorderly conduct
Allentown,Alcohol on streets/sidewalks
Central Business District,Fighting in disorderly conduct
Central Business District,Alcohol consumption in public
Allegheny Center,Marijuana possession
North Shore,Disorderly Conduct
,Public drunkenness
Lower Lawrenceville,Fighting in disorderly conduct
Central Business District,Criminal Mischief
Elliott,Public drunkenness
Central Oakland,Excessive noise in residential area
Allegheny Center,Marijuana possession
Central Business District,Harassment
Central Oakland,Excessive noise in residential area
Allentown,Public drunkenness
Squirrel Hill South,Retail Theft
Fineview,Fighting in disorderly conduct
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Central Business District,Fighting (Disorderly Conduct)
Central Business District,Disorderly Conduct
Central Business District,Criminal Mischief
North Shore,Obscene lang/gest disorderly conduct
Duquesne Heights,Dogs at large prohibited
Terrace Village,Harassment
Central Business District,Fighting in disorderly conduct
Duquesne Heights,Dogs at large prohibited
Central Lawrenceville,Disorderly Conduct
North Shore,Harassment
North Shore,Unlawful ticket resale
North Shore,Indecent public urination/defecation
Upper Hill,Defiant Trespass
Central Business District,Fighting (Disorderly Conduct)
South Side Flats,Public urination/defecation
Middle Hill,Fighting (disorderly conduct)
Central Business District,Actual Communication
Central Business District,Public urination/defecation
Elliott,Obscene Lang/Gest Disorderly Conduct
East Allegheny,Criminal Mischief (Graffiti Damage)
Bluff,Criminal mischief - prop damage by dangerous means
Central Business District,Public drunkenness
Central Lawrenceville,Criminal mischief (prop damage by dangerous means)
Central Business District,Disorderly Conduct
Central Business District,Scattering Rubbish
Central Business District,Harassment by Contact
Central Business District,Public urination/defecation
Homewood North,Harassment
Central Business District,Harassment
Allegheny Center,Marijuana possession
Central Lawrenceville,Public urination/defecation
Squirrel Hill North,Retail Theft
Homewood West,Marijuana possession
South Side Flats,Public drunkenness
Marshall-Shadeland,Criminal Mischief
Brookline,Public drunkenness
Strip District,Marijuana possession
Central Business District,Disorderly Conduct
Beechview,Marijuana possession
Knoxville,Marijuana possession
Brookline,Rabies vaccination
Bon Air,Marijuana possession
East Allegheny,Public drunkenness
Squirrel Hill South,Marijuana possession
Northview Heights,Marijuana possession
Carrick,Criminal Mischief
Squirrel Hill South,Harassment
South Side Flats,Interference with duties
Lower Lawrenceville,Harassment by physical contact
Hazelwood,Marijuana possession
Homewood North,Marijuana possession
Knoxville,Marijuana possession
Fineview,Rabies vaccination
West End,Marijuana possession
Central Business District,Open Container
Central Business District,Public marijuana smoking
Homewood North,Criminal Mischief
Bloomfield,Harassment
South Side Flats,Indecent public act
South Side Flats,Public drunkenness
South Side Flats,Fighting in disorderly conduct
South Side Flats,Fighting (Disorderly Conduct)
Point Breeze North,Marijuana possession
East Allegheny,Obstructing passage
East Allegheny,Marijuana possession
Brookline,Dog license requirement
Central Business District,Public drunkenness
East Allegheny,Marijuana possession
,Defiant Trespass
North Shore,Marijuana possession
Squirrel Hill South,Disorderly conduct
Carrick,Harassment
North Shore,Fighting disorderly conduct
East Allegheny,Public urination/defecation
South Oakland,Excessive noise in residential area
South Side Flats,Public drunkenness
Ridgemont,Dangerous Burning
Carrick,Harassment
Squirrel Hill South,Harassment
South Side Flats,Indecent public urination/defecation
Central Lawrenceville,Refusing collection at night
Central North Side,Dealer reports
South Oakland,Excessive noise in residential area
,Dog license requirement
East Liberty,Trespass
Point Breeze North,Fighting in disorderly conduct
Central Business District,Indecent public urination/defecation
Central Business District,Alcohol on streets/sidewalks
Knoxville,Dog license requirement
South Side Flats,Alcohol on streets/sidewalks
North Shore,Obscene lang/gest disorderly conduct
Northview Heights,Marijuana possession
Homewood West,Criminal Mischief - Graffiti Damage
Bloomfield,Harassment
Knoxville,Rabies vaccination
Central Business District,Public drunkenness
Hazelwood,Harassment
Middle Hill,Harassment
Central Business District,Criminal Mischief
Squirrel Hill South,Harassment
Lincoln-Lemington-Belmar,Marijuana possession
Larimer,Marijuana possession
Central Business District,Alcohol consumption in public
Point Breeze North,Fighting in disorderly conduct
East Allegheny,Obscene lang/gest disorderly conduct
Carrick,Harassment by physical contact
Troy Hill,Public drunkenness
South Side Flats,Public urination/defecation
East Allegheny,Marijuana possession
North Shore,Public drunkenness
Central Oakland,Harassment
South Side Flats,Public urination/defecation
Central Business District,Public drunkenness
Central North Side,Harassment
Central Business District,Disorderly Conduct
Point Breeze North,Marijuana possession
Perry South,Open Container
Central North Side,Fighting (disorderly conduct)
Central Business District,Harassment
Carrick,Public drunkenness
Chateau,Marijuana possession
South Side Flats,Indecent public act
North Shore,Disorderly Conduct
Homewood North,Retail Theft
Central Business District,Obscene lang/gest disorderly conduct
Central Business District,Public drunkenness
Crawford-Roberts,Harassment
South Side Flats,Public urination/defecation
Central Business District,Fighting (Disorderly Conduct)
Central Business District,Disorderly conduct
Sheraden,Littering
Beltzhoover,Marijuana possession
Point Breeze North,Harassment
Carrick,Harassment
South Side Flats,Public urination/defecation
Garfield,Marijuana possession
Overbrook,Harassment
Elliott,Harassment
Central Business District,Disorderly Conduct
Marshall-Shadeland,Harassment
Allegheny Center,Public drunkenness
Central Business District,Criminal Trespass
Sheraden,Littering/Dumping
Central Business District,Public urination/defecation
Central Business District,Criminal Mischief (Graffiti Damage)
Homewood South,Marijuana possession
Central Oakland,Underage liquor
Middle Hill,Harassment by following
Bluff,Harassment
Point Breeze North,Harassment
Central Business District,Fighting (disorderly conduct)
Crawford-Roberts,Harassment
Bluff,Public urination/defecation
California-Kirkbride,Harassment
East Hills,Criminal Trespass
Bloomfield,Obscene lang/gest disorderly conduct
North Shore,Defiant Trespass
Central Business District,Public drunkenness
Middle Hill,Harassment
Knoxville,Criminal Mischief
Central Business District,Scattering rubbish
Central Business District,Harassment
Central Business District,Public drunkenness
East Allegheny,Obstructing passage
Central Business District,Public drunkenness
Central Business District,Harassment
Central Business District,Panhandling
South Side Flats,Public urination/defecation
Lincoln-Lemington-Belmar,Disorderly Conduct
South Side Flats,Public urination/defecation
Larimer,Marijuana possession
Central Business District,Harassment by Contact
Central Lawrenceville,Actual Communication
Central Business District,Disorderly Conduct
Carrick,Criminal Mischief
East Allegheny,Marijuana possession
Central Oakland,Disorderly conduct
South Side Flats,Public drunkenness
Central Business District,Public drunkenness
Central Business District,Public drunkenness
Carrick,Harassment
Central Business District,Public urination/defecation
Brighton Heights,Animal neglect
Homewood North,Marijuana possession
,Public drunkenness
South Side Flats,Disorderly conduct
Northview Heights,Marijuana possession
South Side Flats,Underage liquor
Central Oakland,False ID for liquor
Bloomfield,Public drunkenness
Carrick,Fighting in disorderly conduct
South Side Flats,Public drunkenness
Brighton Heights,Animal neglect
Central Business District,Public urination/defecation
South Side Flats,Public urination/defecation
Brighton Heights,Animal neglect
South Side Flats,Disorderly Conduct
Mount Washington,Unreasonable noise disorderly conduct
Larimer,Marijuana possession
Squirrel Hill South,Marijuana possession
Knoxville,Dog license requirement
Knoxville,Rabies vaccination
Central Business District,Obscene lang/gest disorderly conduct
South Side Flats,Public urination/defecation
Central Business District,Actual Communication
Brighton Heights,Animal neglect
Central Business District,Disorderly Conduct
South Side Flats,Indecent public act
Central Business District,Public drunkenness
Central Business District,Criminal Trespass
Brighton Heights,Animal neglect
Brighton Heights,Animal neglect
Brighton Heights,Animal neglect
South Side Flats,Littering
Central Business District,Littering
Brighton Heights,Animal neglect
South Side Flats,Harassment
Brighton Heights,Animal neglect
Brighton Heights,Animal neglect
Larimer,Marijuana possession
Esplen,Harassment
Esplen,Harassment
Brighton Heights,Animal neglect
South Side Flats,Indecent public act
Brighton Heights,Animal neglect
Brighton Heights,Animal neglect
Brighton Heights,Animal neglect
Brighton Heights,Animal neglect
Homewood South,Harassment
New Homestead,Marijuana possession
Homewood South,Marijuana possession
New Homestead,Marijuana possession
Central Business District,Theft of services
Larimer,Marijuana possession
Brighton Heights,Animal neglect
South Side Flats,Disorderly Conduct
Oakwood,Harassment
Brighton Heights,Animal neglect
